fighter,opp_fighter,title_bout,weight_class,stance,opp_stance,male,diff_reach_cms,diff_height_cms,diff_weight_lbs,diff_age,diff_wins,diff_losses,diff_avg_sig_str_landed,diff_avg_sig_str_pct,diff_avg_sub_att,diff_avg_td_landed,diff_avg_td_pct,winner
Thiago Santos,Johnny Walker,False,Light Heavyweight,Orthodox,Orthodox,1,-15.240000000000009,-10.159999999999997,0,8,8,6,0.5300000000000002,-0.10999999999999999,-0.6,0.37,-0.64,1
Johnny Walker,Thiago Santos,False,Light Heavyweight,Orthodox,Orthodox,1,15.240000000000009,10.159999999999997,0,-8,-8,-6,-0.5300000000000002,0.10999999999999999,0.6,-0.37,0.64,0
Alex Oliveira,Niko Price,False,Welterweight,Orthodox,Orthodox,1,0.0,-2.539999999999992,0,1,5,3,-2.19,0.09000000000000002,-0.30000000000000004,1.48,0.15,0
Niko Price,Alex Oliveira,False,Welterweight,Orthodox,Orthodox,1,0.0,2.539999999999992,0,-1,-5,-3,2.19,-0.09000000000000002,0.30000000000000004,-1.48,-0.15,1
Misha Cirkunov,Krzysztof Jotko,False,Middleweight,Orthodox,Southpaw,1,0.0,5.0800000000000125,20,2,-3,-1,0.8500000000000001,0.08000000000000002,1.5999999999999999,3.3300000000000005,0.09999999999999998,0
Krzysztof Jotko,Misha Cirkunov,False,Middleweight,Southpaw,Orthodox,1,0.0,-5.0800000000000125,-20,-2,3,1,-0.8500000000000001,-0.08000000000000002,-1.5999999999999999,-3.3300000000000005,-0.09999999999999998,1
Alexander Hernandez,Mike Breeden,False,Lightweight,Orthodox,Orthodox,1,5.079999999999984,-2.5400000000000205,0,-3,4,2,-0.25,0.019999999999999962,0.0,1.57,0.35,1
Mike Breeden,Alexander Hernandez,False,Lightweight,Orthodox,Orthodox,1,-5.079999999999984,2.5400000000000205,0,3,-4,-2,0.25,-0.019999999999999962,0.0,-1.57,-0.35,0
Joe Solecki,Jared Gordon,False,Lightweight,Orthodox,Orthodox,1,5.0800000000000125,0.0,10,-5,-1,-3,-2.5799999999999996,0.05999999999999994,0.6,0.31000000000000005,0.13,0
Jared Gordon,Joe Solecki,False,Lightweight,Orthodox,Orthodox,1,-5.0800000000000125,0.0,-10,5,1,3,2.5799999999999996,-0.05999999999999994,-0.6,-0.31000000000000005,-0.13,1
Antonina Shevchenko,Casey O'Neill,False,Flyweight,Southpaw,Orthodox,0,-5.079999999999984,5.0800000000000125,0,13,2,3,-1.5900000000000003,0.0,-0.8999999999999999,-3.3200000000000003,0.0,0
Casey O'Neill,Antonina Shevchenko,False,Flyweight,Orthodox,Southpaw,0,5.079999999999984,-5.0800000000000125,0,-13,-2,-3,1.5900000000000003,0.0,0.8999999999999999,3.3200000000000003,0.0,1
Bethe Correia,Karol Rosa,False,Bantamweight,Orthodox,Orthodox,0,-7.6200000000000045,0.0,0,12,2,5,-3.51,-0.11000000000000004,0.0,-1.1099999999999999,-0.32,0
Karol Rosa,Bethe Correia,False,Bantamweight,Orthodox,Orthodox,0,7.6200000000000045,0.0,0,-12,-2,-5,3.51,0.11000000000000004,0.0,1.1099999999999999,0.32,1
Devonte Smith,Jamie Mullarkey,False,Lightweight,Orthodox,Orthodox,1,5.079999999999984,-7.6200000000000045,0,1,3,-1,2.07,0.12,0.09999999999999998,-2.9699999999999998,0.6799999999999999,0
Jamie Mullarkey,Devonte Smith,False,Lightweight,Orthodox,Orthodox,1,-5.079999999999984,7.6200000000000045,0,-1,-3,1,-2.07,-0.12,-0.09999999999999998,2.9699999999999998,-0.6799999999999999,1
Douglas Silva de Andrade,Gaetano Pirrello,False,Bantamweight,Orthodox,Orthodox,1,7.6200000000000045,0.0,10,7,4,3,2.8,-0.17000000000000004,0.0,0.69,0.5,1
Gaetano Pirrello,Douglas Silva de Andrade,False,Bantamweight,Orthodox,Orthodox,1,-7.6200000000000045,0.0,-10,-7,-4,-3,-2.8,0.17000000000000004,0.0,-0.69,-0.5,0
Stephanie Egger,Shanna Young,False,Bantamweight,Orthodox,Orthodox,0,7.6200000000000045,-2.5400000000000205,0,3,0,-1,-1.3,-0.010000000000000009,-1.0,2.01,0.3,1
Shanna Young,Stephanie Egger,False,Bantamweight,Orthodox,Orthodox,0,-7.6200000000000045,2.5400000000000205,0,-3,0,1,1.3,0.010000000000000009,1.0,-2.01,-0.3,0
Alejandro Perez,Johnny Eduardo,False,Bantamweight,Orthodox,Orthodox,1,-15.240000000000009,-2.5400000000000205,10,-11,4,-1,0.5,-0.040000000000000036,0.0,0.39,0.03,1
Johnny Eduardo,Alejandro Perez,False,Bantamweight,Orthodox,Orthodox,1,15.240000000000009,2.5400000000000205,-10,11,-4,1,-0.5,0.040000000000000036,0.0,-0.39,-0.03,0
Alexander Volkanovski,Brian Ortega,True,Featherweight,Orthodox,Switch,1,5.0800000000000125,-5.0800000000000125,0,2,2,-1,2.2699999999999996,0.18000000000000005,-0.8999999999999999,0.9,0.10000000000000003,1
Brian Ortega,Alexander Volkanovski,True,Featherweight,Switch,Orthodox,1,-5.0800000000000125,5.0800000000000125,0,-2,-2,1,-2.2699999999999996,-0.18000000000000005,0.8999999999999999,-0.9,-0.10000000000000003,0
Valentina Shevchenko,Lauren Murphy,True,Flyweight,Southpaw,Orthodox,0,-2.5400000000000205,0.0,0,-5,3,-2,-0.3700000000000001,0.14,0.19999999999999998,1.59,0.3,1
Lauren Murphy,Valentina Shevchenko,True,Flyweight,Orthodox,Southpaw,0,2.5400000000000205,0.0,0,5,-3,2,0.3700000000000001,-0.14,-0.19999999999999998,-1.59,-0.3,0
Nick Diaz,Robbie Lawler,False,Middleweight,Southpaw,Southpaw,1,5.079999999999984,5.079999999999984,0,-1,0,-7,1.98,-0.040000000000000036,1.0,0.62,-0.32,0
Robbie Lawler,Nick Diaz,False,Middleweight,Southpaw,Southpaw,1,-5.079999999999984,-5.079999999999984,0,1,0,7,-1.98,0.040000000000000036,-1.0,-0.62,0.32,1
